"hard" "soft"
"1" 4.875 2.91
"2" 1.062 2.045
"3" 2.323 2.323
"4" 2.336 2.336
"5" 2.344 2.344
"6" 2.349 2.349
"7" 0.92 1.972
"8" 3.598 2.677
"9" 3.722 2.631
"10" 1.062 2.045
"11" 2.293 2.293
"12" 0.779 1.896
"13" 5.274 3.04
"14" 0.754 1.871
"15" 2.231 2.231
"16" 2.217 2.217
"17" 2.217 2.217
"18" 2.222 2.222
"19" 3.281 2.346
"20" 1.231 2.119
"21" 2.235 2.235
"22" 2.239 2.239
"23" 2.246 2.246
"24" 2.253 2.253
"25" 2.261 2.261
"26" 2.267 2.267
"27" 2.273 2.273
"28" 2.279 2.279
"29" 0.214 1.42
"30" 5.784 3.408
"31" 0.825 1.997
"32" 2.276 2.276
"33" 2.273 2.273
"34" 2.274 2.274
"35" 2.271 2.271
"36" 2.267 2.267
"37" 2.263 2.263
"38" 2.259 2.259
"39" 2.255 2.255
"40" 2.251 2.251
"41" 2.253 2.253
"42" 2.259 2.259
"43" 1.017 1.999
"44" 3.59 2.556
"45" 2.278 2.278
"46" 1.118 1.984
"47" 2.318 2.586
"48" 5.306 2.973
"49" 0.598 1.74
"50" 2.351 2.351
"51" 2.352 2.352
"52" 2.358 2.358
"53" 2.362 2.362
"54" 2.368 2.368
"55" 2.363 2.363
"56" 2.357 2.357
"57" 2.339 2.339
"58" 2.325 2.325
"59" 2.297 2.297
"60" 2.25 2.25
"61" 2.172 2.172
"62" 2.031 2.031
